registrasi karyawan
0011803009,128731096836231,63628247533610922191
0012106018,153061203865539,33106772471154953815
0011211072,246422669076277,37936102615339619513
0011610028,373075021739146,62092728295268169958
0261702002,212465850687912,26034529276549536470
0261209007,823909387444840,79776187558290414959
0261011010,476007881852948,26467237883544114746
001H000158,703899184748294,57663912379782740537
001H00755,271777572168002,95256918566453658596
0261110007,185857862771131,49456948053585715670
026180005,699806181942519,56944305505512735699
3132107003,615768325676533,10259832418671648691
001H000162,645189738232948,28849354619982622788
001H000285,159425676895922,67487771458483691174
001H000286,362922571499962,56052299415616995041
001H000287,318859795763827,55788488399981599837
001H000506,269712338296651,50434733377536080755
001H000563,483802003762070,19287959643759267619
0261904001,472784213077509,90570664687737974987
001H000284,585883022357817,70098114812619580252
0262003002,334573800449915,59208984128317786227
0021807003,391488815218029,10852379045928782601
3132102001,583771521740378,14933461388827121615
3132107002,165986703629770,94675609757521258342
1040905015,323008459938832,54573741104910571846
0011912034,917156932234910,42351514075344030827
2851707023,977371355059438,29734184388100092693
8031604010,186002571231390,18276799322517021493
8031604010,186002571231390,18276799322517021493
001H000868,443307539580671,39578731468013491060
001H000867,945897157818006,32118358435482185111
0011211072,246422669076277,37936102615339619513
0011610028,373075021739146,62092728295268169958
0261209007,823909387444840,79776187558290414959
0261702002,212465850687912,26034529276549536470
0261011010,476007881852948,26467237883544114746
001H00755,271777572168002,95256918566453658596
0261110007,185857862771131,49456948053585715670
001H000162,645189738232948,28849354619982622788
026180005,699806181942519,56944305505512735699
3132107003,615768325676533,10259832418671648691
001H000506,269712338296651,50434733377536080755
001H000868,443307539580671,39578731468013491060
001H000867,945897157818006,32118358435482185111
001H000285,159425676895922,67487771458483691174
001H000286,362922571499962,56052299415616995041
001H000563,483802003762070,19287959643759267619
3132102001,583771521740378,14933461388827121615
0262003002,334573800449915,59208984128317786227
0021807003,391488815218029,10852379045928782601
3132107002,165986703629770,94675609757521258342
8031604010,186002571231390,18276799322517021493
001H000287,318859795763827,55788488399981599837
0261904001,472784213077509,90570664687737974987
001H000284,585883022357817,70098114812619580252
1040905015,323008459938832,54573741104910571846
0011912034,917156932234910,42351514075344030827
2851707023,977371355059438,29734184388100092693
8031604010,186002571231390,18276799322517021493
