Tgl & Wkt;KETERANGAN;NOMINAL;Debit;Kredit
03/04/2020 21:12:52;CAB MLG (BCA VA DR GADANG AGEN);927753;A002011027;C001041015
03/04/2020 21:18:14;CAB SUB (BCA VA DR SURABAYA CABANG);260150;A002011027;C001041016
04/04/2020 05:39:49;CAB SUB (BCA VA DR DEMAK COUNTER);258300;A002011027;C001041016
04/04/2020 06:44:33;CAB BDO (BCA VA DR UJUNG BERUNG AGEN);516000;A002011027;C001041012
04/04/2020 07:29:06;CAB CBN (BCA VA DR CIREBON CABANG);588500;A002011027;C001041013
04/04/2020 07:31:19;CAB BSI (BCA VA DR JONGGOL AGEN);24000;A002011027;C002041035
04/04/2020 07:51:26;CAB SUB (BCA VA DR KEMASAN KRIAN AGEN);1875975;A002011027;C001041016
04/04/2020 08:01:51;CAB BSI (BCA VA DR CIANGSANA AGEN);1085200;A002011027;C002041035
04/04/2020 08:30:00;CAB SUB (BCA VA DR PANDUGO AGEN);3319674;A002011027;C001041016
04/04/2020 08:31:32;CAB JKT (BCA VA DR CENGKARENG AGEN);8520600;A002011027;C001041011
04/04/2020 08:40:54;CAB DPS (BCA VA DR DENPASAR COUNTER);160000;A002011027;C001041017
04/04/2020 08:42:33;CAB SRG (BCA VA DR MT HARYONO AGEN);2906521;A002011027;C001041014
04/04/2020 08:55:20;CAB TMA (BCA VA DR TASIKMALAYA CABANG);118000;A002011027;C002041030
04/04/2020 09:04:27;CAB BRG (BCA VA DR KEDUNG HALANG COUNTER);1939000;A002011027;C001041020
04/04/2020 09:12:12;CAB BSI (BCA VA DR LIPPO COUNTER);3177500;A002011027;C002041035
04/04/2020 09:19:26;CAB CBN (BCA VA DR TEGAL GUBUK AGEN);5762200;A002011027;C001041013
04/04/2020 09:29:15;CAB MLG (BCA VA DR MALANG CABANG);187400;A002011027;C001041015
04/04/2020 09:35:28;CAB BSI (BCA VA DR BEKASI CABANG);229500;A002011027;C002041035
04/04/2020 09:40:37;CAB JOG (BCA VA DR BANTUL JOGJA AGEN);1685600;A002011027;C001041018
04/04/2020 09:46:03;CAB BDO (BCA VA DR MARGAASIH AGEN);118000;A002011027;C001041012
04/04/2020 09:47:20;CAB BSI (BCA VA DR DEPOK COUNTER);2421000;A002011027;C002041035
04/04/2020 09:48:18;CAB BDO (BCA VA DR DAKOTA BANDUNG);6758500;A002011027;C001041012
04/04/2020 09:49:10;CAB BDO (BCA VA DR BANDUNG COUNTER);2435000;A002011027;C001041012
04/04/2020 09:49:51;CAB BDO (BCA VA DR SUMEDANG COUNTER);1185000;A002011027;C001041012
04/04/2020 09:55:45;CAB TMA (BCA VA DR TASIKMALAYA CABANG);35000;A002011027;C002041030
04/04/2020 09:59:17;CAB MLG (BCA VA DR MALANG CABANG);71300;A002011027;C001041015
04/04/2020 10:05:21;CAB SRG (BCA VA DR SEMARANG CABANG);1900000;A002011027;C001041014
04/04/2020 10:07:10;CAB SRG (BCA VA DR PUSPONJOLO AGEN);685178;A002011027;C001041014
04/04/2020 10:07:46;CAB BDO (BCA VA DR CARINGIN AGEN);5198000;A002011027;C001041012
04/04/2020 10:12:46;CAB SUB (BCA VA DR PANDEGILING COUNTER);78000;A002011027;C001041016
04/04/2020 10:13:27;CAB BSI (BCA VA DR HARAPAN INDAH AGEN);1809700;A002011027;C002041035
04/04/2020 10:13:58;CAB TAN (BCA VA DR TANGERANG COUNTER);93000;A002011027;C001041021
04/04/2020 10:14:01;CAB BSI (BCA VA DR WANAHERANG AGEN);34000;A002011027;C002041035
04/04/2020 10:18:22;CAB XOJ (BCA VA DR SIDOARJO CABANG);91000;A002011027;C002041049
04/04/2020 10:22:37;CAB BDO (BCA VA DR CIMAHI AGEN 01);2365650;A002011027;C001041012
04/04/2020 10:28:20;CAB BSI (BCA VA DR CIGANJUR AGEN);4335500;A002011027;C002041035
04/04/2020 10:29:40;CAB TMA (BCA VA DR TASIKMALAYA CABANG);908000;A002011027;C002041030
04/04/2020 10:31:21;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);150000;A002011027;C001041021
04/04/2020 10:31:54;CAB XOJ (BCA VA DR MENGANTI AGEN);994129;A002011027;C002041049
04/04/2020 10:35:01;CAB BSI (BCA VA DR HANKAM AGEN);2296000;A002011027;C002041035
04/04/2020 10:35:09;CAB TAN (BCA VA DR TANAH TINGGI AGEN);5986875;A002011027;C001041021
04/04/2020 10:40:40;CAB JKT (BCA VA DR OTISTA AGEN);2526858;A002011027;C001041011
04/04/2020 10:44:51;CAB TKG (BCA VA DR LAMPUNG CABANG);181000;A002011027;C002041034
04/04/2020 10:45:15;CAB CJR (BCA VA DR CIANJUR CABANG);117000;A002011027;C002041043
04/04/2020 10:46:34;CAB SRG (BCA VA DR SEMARANG COUNTER);185000;A002011027;C001041014
04/04/2020 10:47:50;CAB SUB (BCA VA DR TANDES AGEN);203300;A002011027;C001041016
04/04/2020 10:49:33;CAB TAN (BCA VA DR TANGERANG COUNTER);585450;A002011027;C001041021
04/04/2020 10:51:35;CAB BRG (BCA VA DR BOGOR CABANG);5315000;A002011027;C001041020
04/04/2020 10:58:31;CAB LMG (BCA VA DR LAMONGAN CABANG);677000;A002011027;C002041057
04/04/2020 11:03:32;CAB SRG (BCA VA DR BANYUMANIK AGEN);2040000;A002011027;C001041014
04/04/2020 11:06:43;CAB BSI (BCA VA DR CIRACAS AGEN);908500;A002011027;C002041035
04/04/2020 11:07:49;CAB PWK (BCA VA DR SADANG AGEN);4000000;A002011027;C002041041
04/04/2020 11:08:04;CAB JKT (BCA VA DR JELAMBAR CONTER);230000;A002011027;C001041011
04/04/2020 11:08:10;CAB BSI (BCA VA DR JONGGOL AGEN);75000;A002011027;C002041035
04/04/2020 11:09:05;CAB BSI (BCA VA DR CIBITUNG AGEN);2248700;A002011027;C002041035
04/04/2020 11:09:24;CAB SUB (BCA VA DR SIDOTOPO COUNTER);574000;A002011027;C001041016
04/04/2020 11:11:47;CAB BSI (BCA VA DR SETU AGEN);3738100;A002011027;C002041035
04/04/2020 11:13:45;CAB BSI (BCA VA DR BANTAR GEBANG AGEN);676550;A002011027;C002041035
04/04/2020 11:17:44;CAB BDO (BCA VA DR KATAPANG AGEN);663000;A002011027;C001041012
04/04/2020 11:18:04;CAB KII (BCA VA DR BLITAR AGEN);1750950;A002011027;C001041033
04/04/2020 11:25:57;CAB BSI (BCA VA DR HANKAM AGEN);1932000;A002011027;C002041035
04/04/2020 11:26:36;CAB TAN (BCA VA DR BATU CEPER AGEN);2427000;A002011027;C001041021
04/04/2020 11:27:55;CAB SUB (BCA VA DR PCI COUNTER);55000;A002011027;C001041016
04/04/2020 11:28:23;CAB TMA (BCA VA DR TASIKMALAYA CABANG);32000;A002011027;C002041030
04/04/2020 11:34:21;CAB BSI (BCA VA DR CIBUBUR COUNTER);33000;A002011027;C002041035
04/04/2020 11:35:34;CAB JOG (BCA VA DR PINARAK AGEN);895978;A002011027;C001041018
04/04/2020 11:38:53;CAB XOJ (BCA VA DR BAMBE AGEN);1390854;A002011027;C002041049
04/04/2020 11:40:07;CAB BSI (BCA VA DR DEPOK COUNTER);65000;A002011027;C002041035
04/04/2020 11:43:23;CAB JOG (BCA VA DR SLEMAN AGEN);1799400;A002011027;C001041018
04/04/2020 11:43:56;CAB JOG (BCA VA DR KALIURANG AGEN);1319825;A002011027;C001041018
04/04/2020 11:45:09;CAB JKT (BCA VA DR PENGGILINGAN AGEN);3315993;A002011027;C001041011
04/04/2020 11:46:01;CAB TAN (BCA VA DR CIPONDOH AGEN);2078000;A002011027;C001041021
04/04/2020 11:47:47;CAB PWL (BCA VA DR CILACAP COUNTER);1532000;A002011027;C001041024
04/04/2020 11:48:30;CAB SRG (BCA VA DR BETENG AGEN);2055318;A002011027;C001041014
04/04/2020 11:49:56;CAB SRG (BCA VA DR MAJAPAHIT AGEN);1819340;A002011027;C001041014
04/04/2020 11:55:31;CAB BDO (BCA VA DR PASAR BARU AGEN);4512000;A002011027;C001041012
04/04/2020 12:02:42;CAB PLM (BCA VA DR PALEMBANG CABANG);130000;A002011027;C001041036
04/04/2020 12:04:47;CAB MLG (BCA VA DR MALANG CABANG);1200000;A002011027;C001041015
04/04/2020 12:05:06;CAB BSI (BCA VA DR HANKAM AGEN);448600;A002011027;C002041035
04/04/2020 12:10:54;CAB BSI (BCA VA DR JONGGOL AGEN);115000;A002011027;C002041035
04/04/2020 12:13:32;CAB BDO (BCA VA DR RANCA EKEK AGEN);1521750;A002011027;C001041012
04/04/2020 12:20:15;CAB TMA (BCA VA DR TASIKMALAYA CABANG);398000;A002011027;C002041030
04/04/2020 12:26:41;CAB SST (BCA VA DR SALATIGA CABANG);38000;A002011027;C001041019
04/04/2020 12:34:44;CAB TAN (BCA VA DR TANGERANG COUNTER);160000;A002011027;C001041021
04/04/2020 12:35:53;CAB XOJ (BCA VA DR SIDOARJO CABANG);58900;A002011027;C002041049
04/04/2020 12:37:41;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);225000;A002011027;C001041021
04/04/2020 12:38:20;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);1217000;A002011027;C001041021
04/04/2020 12:42:02;CAB BSI (BCA VA DR CIBUBUR COUNTER);58000;A002011027;C002041035
04/04/2020 12:43:32;CAB BSI (BCA VA DR CIBUBUR COUNTER);47000;A002011027;C002041035
