Tgl & Wkt;KETERANGAN;NOMINAL;Debit;Kredit
01/01/2020 23:59:24;CAB JKT (BCA VA DR RAWA BUAYA AGEN);17161000;A002011027;C002041038
04/01/2020 23:59:24;CAB JKT (BCA VA DR RAWA BUAYA AGEN);1561000;A002011027;C002041038
04/01/2020 00:35:57;CAB BSI (BCA VA DR CIANGSANA AGEN);2518200;A002011027;C002042073
04/01/2020 05:40:28;CAB BSI (BCA VA DR BANTAR GEBANG AGEN);129000;A002011027;C001041015
04/01/2020 06:43:31;CAB SUB (BCA VA DR KEMASAN KRIAN AGEN);22350000;A002011027;C002042028
04/01/2020 07:03:27;CAB BSI (BCA VA DR SETU AGEN);11631626;A002011027;C001041011
04/01/2020 07:17:33;CAB BSI (BCA VA DR WANAHERANG AGEN);145000;A002011027;C002041048
04/01/2020 07:44:21;CAB XOJ (BCA VA DR SIDOARJO CABANG);50000;A002011027;C001041026
04/01/2020 07:51:10;CAB SRG (BCA VA DR MT HARYONO AGEN);302250;A002011027;C001041016
04/01/2020 07:59:27;CAB CBN (BCA VA DR TEGAL GUBUK AGEN);3722000;A002011027;C001041020
04/01/2020 08:05:02;CAB JKT (BCA VA DR PETA SELATAN COUNTER);1181650;A002011027;C002041049
04/01/2020 08:05:58;CAB MES (BCA VA DR BINJAI COUNTER);2710650;A002011027;C002041049
04/01/2020 08:10:37;CAB BSI (BCA VA DR CIBITUNG AGEN);1319000;A002011027;C002041035
04/01/2020 08:15:29;CAB MLG (BCA VA DR MALANG GUDANG);69000;A002011027;C001041015
04/01/2020 08:18:51;CAB MLG (BCA VA DR MALANG GUDANG);986059;A002011027;C001041025
04/01/2020 08:19:43;CAB BRG (BCA VA DR KEDUNG HALANG COUNTER);19839656;A002011027;C002042050
04/01/2020 08:26:54;CAB BDO (BCA VA DR CIMAHI AGEN 01);1549000;A002011027;C001041011
04/01/2020 08:27:01;CAB BSI (BCA VA DR HANKAM AGEN);148000;A002011027;C001041017
04/01/2020 08:29:57;CAB PWL (BCA VA DR CILACAP COUNTER);636000;A002011027;C002041049
04/01/2020 08:32:47;CAB SUB (BCA VA DR PANDUGO AGEN);2591000;A002011027;C002041035
04/01/2020 08:33:21;CAB SUB (BCA VA DR PANDEGILING COUNTER);15324725;A002011027;C001041011
04/01/2020 08:34:37;CAB BSI (BCA VA DR CIKARANG COUNTER);186000;A002011027;C002041057
04/01/2020 08:34:38;CAB DPS (BCA VA DR DENPASAR CABANG);372000;A002011027;C001041019
04/01/2020 08:37:47;CAB SUB (BCA VA DR PANDEGILING COUNTER);1100000;A002011027;C002041048
04/01/2020 08:43:58;CAB BDO (BCA VA DR CARINGIN AGEN);490000;A002011027;C001041032
04/01/2020 08:46:06;CAB SRG (BCA VA DR BETENG AGEN);405000;A002011027;C001041027
04/01/2020 08:47:38;CAB MES (BCA VA DR MEDAN CABANG);1951200;A002011027;C001041014
04/01/2020 08:49:45;CAB JKT (BCA VA DR OTISTA AGEN);50000;A002011027;C002041032
04/01/2020 08:52:43;CAB CBN (BCA VA DR CIREBON CABANG);1242000;A002011027;C002041032
04/01/2020 08:54:27;CAB JKT (BCA VA DR PERNIAGAAN AGEN);2227515;A002011027;C001041014
04/01/2020 08:56:48;CAB BSI (BCA VA DR JONGGOL AGEN);5187450;A002011027;C002041035
04/01/2020 08:58:53;CAB TAN (BCA VA DR BATU CEPER AGEN);142000;A002011027;C001041018
04/01/2020 09:00:42;CAB MES (BCA VA DR BINJAI COUNTER);378045;A002011027;C001041011
04/01/2020 09:01:40;CAB JKT (BCA VA DR BEKASI AGEN);688000;A002011027;C001041012
04/01/2020 09:03:46;CAB SUB (BCA VA DR TANDES AGEN);2428850;A002011027;C002041049
04/01/2020 09:04:21;CAB JOG (BCA VA DR BANTUL JOGJA AGEN);1205100;A002011027;C002041035
04/01/2020 09:04:52;CAB TAN (BCA VA DR TANGERANG COUNTER);1031600;A002011027;C002041035
04/01/2020 09:05:13;CAB KRW (BCA VA DR KERTABUMI AGEN);798950;A002011027;C001041033
04/01/2020 09:07:20;CAB JKT (BCA VA DR THAMRIN CITY AGEN);9433765;A002011027;C001041011
04/01/2020 09:07:23;CAB TKG (BCA VA DR LAMPUNG CABANG);615600;A002011027;C001041011
04/01/2020 09:07:44;CAB JOG (BCA VA DR DAKOTA YOGYAKARTA);1964000;A002011027;C002041035
04/01/2020 09:12:19;CAB BSI (BCA VA DR CIGANJUR AGEN);2564395;A002011027;C001041014
04/01/2020 09:12:24;CAB SUB (BCA VA DR SURABAYA CABANG);1294000;A002011027;C002041041
04/01/2020 09:13:52;CAB BSI (BCA VA DR CIKARANG COUNTER);883000;A002011027;C001041012
04/01/2020 09:17:46;CAB JOG (BCA VA DR SLEMAN AGEN);435000;A002011027;C002041039
