Tgl & Wkt;KETERANGAN;NOMINAL;Debit;Kredit
04/23/2020 07:32:22;CAB BDJ (BCA VA DR DAKOTA BANJARMASIN);278000;A002011027;C002041048
04/23/2020 07:41:44;CAB DPS (BCA VA DR DENPASAR CABANG);5104000;A002011027;C001041017
04/23/2020 08:16:15;CAB KWS (BCA VA DR JEPARA AGEN);892266;A002011027;C001041025
04/23/2020 08:27:14;CAB JKT (BCA VA DR TANAH ABANG COUNTER);8804000;A002011027;C001041011
04/23/2020 08:39:44;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);7310000;A002011027;C001041021
04/23/2020 08:47:32;CAB KRW (BCA VA DR CIKALONG AGEN);60000;A002011027;C002041061
04/23/2020 08:52:26;CAB JBE (BCA VA DR RAMBIPUJI COUNTER);1020000;A002011027;C001041027
04/23/2020 09:28:06;CAB XOJ (BCA VA DR GRESIK COUNTER);2800000;A002011027;C002041049
04/23/2020 09:31:09;CAB UPG (BCA VA DR MAKASSAR CABANG);484500;A002011027;C002041045
04/23/2020 09:43:42;CAB XOJ (BCA VA DR SIDOARJO CABANG);5934000;A002011027;C002041049
04/23/2020 09:48:49;CAB SUB (BCA VA DR SURABAYA CABANG);541000;A002011027;C001041016
04/23/2020 09:48:57;CAB SEG (BCA VA DR CILEGON AGEN);635500;A002011027;C002041042
04/23/2020 09:52:03;CAB BDO (BCA VA DR DAKOTA BANDUNG);6318000;A002011027;C001041012
04/23/2020 09:53:18;CAB BDO (BCA VA DR BANDUNG COUNTER);3897000;A002011027;C001041012
04/23/2020 09:54:07;CAB BDO (BCA VA DR SUMEDANG COUNTER);566000;A002011027;C001041012
04/23/2020 10:02:26;CAB SST (BCA VA DR AMBARAWA COUNTER);278000;A002011027;C001041019
04/23/2020 10:20:56;CAB BSI (BCA VA DR BEKASI CABANG);19409000;A002011027;C002041035
04/23/2020 10:36:11;CAB PWL (BCA VA DR PURWOKERTO CABANG);6452500;A002011027;C001041024
04/23/2020 10:36:58;CAB PWL (BCA VA DR PURWOKERTO CABANG);7813000;A002011027;C001041024
04/23/2020 10:37:42;CAB BSI (BCA VA DR BULAK KAPAL AGEN);2925000;A002011027;C002041035
04/23/2020 10:50:32;CAB CBN (BCA VA DR SAMPORA AGEN);31000;A002011027;C001041013
04/23/2020 10:52:01;CAB CBN (BCA VA DR KUNINGAN COUNTER);776000;A002011027;C001041013
04/23/2020 10:53:16;CAB CBN (BCA VA DR PLERED COUNTER);1368500;A002011027;C001041013
04/23/2020 10:54:21;CAB CBN (BCA VA DR CIREBON CABANG);6682684;A002011027;C001041013
04/23/2020 11:10:48;CAB KWS (BCA VA DR KUDUS CABANG);3890000;A002011027;C001041025
04/23/2020 11:13:32;CAB BRG (BCA VA DR BOGOR CABANG);8367000;A002011027;C001041020
04/23/2020 11:14:11;CAB PWL (BCA VA DR PURWOKERTO CABANG);242000;A002011027;C001041024
04/23/2020 11:15:37;CAB WNB (BCA VA DR WONOSOBO CABANG);2507000;A002011027;C002041033
04/23/2020 11:24:32;CAB PKU (BCA VA DR PEKANBARU CABANG);1348000;A002011027;C002041040
04/23/2020 11:28:18;CAB LGD (BCA VA DR LEGUNDI GROUP);571400;A002011027;C002041056
04/23/2020 11:29:10;CAB XOJ (BCA VA DR COUNTER DRIYOREJO);474000;A002011027;C002041049
04/23/2020 11:29:26;CAB KXT (BCA VA DR KLATEN CABANG);8162000;A002011027;C002041036
04/23/2020 11:31:26;CAB KII (BCA VA DR KEDIRI CABANG);4231300;A002011027;C001041033
04/23/2020 11:31:55;CAB MLG (BCA VA DR MALANG CABANG);11411700;A002011027;C001041015
04/23/2020 11:31:59;CAB XOJ (BCA VA DR COUNTER LEBO);2757400;A002011027;C002041049
04/23/2020 11:40:21;CAB JKT (BCA VA DR DAKOTA JAKARTA);19695000;A002011027;C001041011
04/23/2020 11:45:51;CAB TGE (BCA VA DR SLAWI COUNTER);614000;A002011027;C001041031
04/23/2020 11:46:18;CAB TGE (BCA VA DR TEGAL CABANG);7473000;A002011027;C001041031
04/23/2020 11:50:52;CAB TAN (BCA VA DR TANGERANG COUNTER);9172460;A002011027;C001041021
04/23/2020 11:54:34;CAB SST (BCA VA DR SALATIGA CABANG);9976000;A002011027;C001041019
04/23/2020 12:00:11;CAB PWK (BCA VA DR PURWAKARTA CABANG);4039000;A002011027;C002041041
04/23/2020 12:02:14;CAB PLM (BCA VA DR PELAJU COUNTER);101000;A002011027;C001041036
04/23/2020 12:02:27;CAB BWW (BCA VA DR BANYUWANGI CABANG);960000;A002011027;C002041029
04/23/2020 12:02:37;CAB PLM (BCA VA DR PALEMBANG CABANG);9554350;A002011027;C001041036
04/23/2020 12:13:32;CAB JKT (BCA VA DR PS.PAGI/COUNTER);3753000;A002011027;C001041011
04/23/2020 12:15:55;CAB PSM (BCA VA DR PASURUAN CABANG);3739000;A002011027;C001041028
