Tgl & Wkt;KETERANGAN;NOMINAL;Debit;Kredit
04/02/2020 21:13:08;CAB KWS (BCA VA DR KUDUS CABANG);268000;A002011027;C001041025
04/02/2020 05:17:14;CAB TAN (BCA VA DR TANGERANG COUNTER);464750;A002011027;C001041021
04/02/2020 06:29:04;CAB XOJ (BCA VA DR KLUDAN AGEN);1403525;A002011027;C002041049
04/02/2020 07:13:21;CAB BDO (BCA VA DR UJUNG BERUNG AGEN);1405000;A002011027;C001041012
04/02/2020 07:31:37;CAB BDJ (BCA VA DR DAKOTA BANJARMASIN);1828000;A002011027;C002041048
04/02/2020 07:41:39;CAB SUB (BCA VA DR KEMASAN KRIAN AGEN);750200;A002011027;C001041016
04/02/2020 07:58:38;A. PGK (BCA VA DR PANGKAL PINANG AGEN);985000;A002011027;C002042067
04/02/2020 08:05:45;CAB XOJ (BCA VA DR COUNTER LEBO);4998500;A002011027;C002041049
04/02/2020 08:14:17;CAB KWS (BCA VA DR JEPARA AGEN);444950;A002011027;C001041025
04/02/2020 08:19:51;CAB JKT (BCA VA DR CENGKARENG AGEN);11250875;A002011027;C001041011
04/02/2020 08:20:26;CAB TMA (BCA VA DR TASIKMALAYA CABANG);486000;A002011027;C002041030
04/02/2020 08:21:25;CAB BDO (BCA VA DR SUMEDANG COUNTER);399000;A002011027;C001041012
04/02/2020 08:26:48;CAB JKT (BCA VA DR TANAH ABANG COUNTER);2019000;A002011027;C001041011
04/02/2020 08:28:51;CAB BSI (BCA VA DR CIKARANG COUNTER);5452000;A002011027;C002041035
04/02/2020 08:33:36;CAB KRW (BCA VA DR KERTABUMI AGEN);944000;A002011027;C002041061
04/02/2020 08:42:23;CAB SST (BCA VA DR AMBARAWA COUNTER);698000;A002011027;C001041019
04/02/2020 08:50:44;CAB SUB (BCA VA DR SURABAYA CABANG);343100;A002011027;C001041016
04/02/2020 08:53:31;CAB BRG (BCA VA DR KEDUNG HALANG COUNTER);1603000;A002011027;C001041020
04/02/2020 08:55:45;CAB BDO (BCA VA DR CARINGIN AGEN);9030500;A002011027;C001041012
04/02/2020 08:56:30;CAB XOJ (BCA VA DR SIDOARJO CABANG);33000;A002011027;C002041049
04/02/2020 08:58:21;CAB DJB (BCA VA DR JAMBI CABANG);1055000;A002011027;C002041032
04/02/2020 09:04:33;A. PDD (BCA VA DR PURWODADI AGEN);3500000;A002011027;C002042041
04/02/2020 09:05:46;CAB SUB (BCA VA DR SIDOTOPO COUNTER);106000;A002011027;C001041016
04/02/2020 09:05:46;CAB JBE (BCA VA DR RAMBIPUJI COUNTER);305000;A002011027;C001041027
04/02/2020 09:06:01;CAB CJR (BCA VA DR CIANJUR CABANG);869000;A002011027;C002041043
04/02/2020 09:06:20;CAB BSI (BCA VA DR LIPPO COUNTER);2928100;A002011027;C002041035
