Tgl & Wkt;KETERANGAN;NOMINAL;Debit;Kredit
04/03/2020 21:39:40;CAB BSI (BCA VA DR JONGGOL AGEN);813000;A002011027;C002041035
04/03/2020 23:43:21;CAB SST (BCA VA DR SALATIGA CABANG);184000;A002011027;C001041019
04/03/2020 05:21:17;CAB BSI (BCA VA DR JONGGOL AGEN);1106000;A002011027;C002041035
04/03/2020 07:44:55;CAB SUB (BCA VA DR KEMASAN KRIAN AGEN);776550;A002011027;C001041016
04/03/2020 08:00:44;CAB KRW (BCA VA DR TELUK JAMBE AGEN);1235000;A002011027;C002041061
04/03/2020 08:05:14;CAB MDC (BCA VA DR MANADO CABANG);200000;A002011027;C002041062
04/03/2020 08:07:36;CAB XOJ (BCA VA DR COUNTER LEBO);2634000;A002011027;C002041049
04/03/2020 08:11:04;CAB MTR (BCA VA DR MATARAM CABANG);950000;A002011027;C002041055
04/03/2020 08:12:08;CAB BSI (BCA VA DR SETU AGEN);3488500;A002011027;C002041035
04/03/2020 08:12:44;CAB BSI (BCA VA DR WANAHERANG AGEN);1226550;A002011027;C002041035
04/03/2020 08:17:29;CAB KWS (BCA VA DR JEPARA AGEN);463717;A002011027;C001041025
04/03/2020 08:19:28;CAB JKT (BCA VA DR MANGGA DUA SQUARE);908725;A002011027;C001041011
04/03/2020 08:20:23;CAB BDO (BCA VA DR SUMEDANG COUNTER);351000;A002011027;C001041012
04/03/2020 08:28:39;CAB SRG (BCA VA DR SEMARANG CABANG);1592658;A002011027;C001041014
04/03/2020 08:33:38;CAB JKT (BCA VA DR TANAH ABANG COUNTER);5174000;A002011027;C001041011
04/03/2020 08:41:43;CAB DPS (BCA VA DR DENPASAR CABANG);5062000;A002011027;C001041017
04/03/2020 08:43:16;CAB BDJ (BCA VA DR BANJARBARU COUNTER);450000;A002011027;C002041048
04/03/2020 08:43:27;CAB SRG (BCA VA DR BANYUMANIK AGEN);2209600;A002011027;C001041014
04/03/2020 08:45:37;CAB UPG (BCA VA DR MAKASSAR CABANG);2651000;A002011027;C002041045
04/03/2020 08:45:40;CAB JKT (BCA VA DR LUBANG BUAYA AGEN);3253348;A002011027;C001041011
04/03/2020 08:51:56;CAB TAN (BCA VA DR TANGERANG CABANG);212000;A002011027;C001041021
04/03/2020 08:52:09;CAB CBN (BCA VA DR TEGAL GUBUK AGEN);190350;A002011027;C001041013
04/03/2020 08:52:46;CAB CJR (BCA VA DR CIANJUR CABANG);125000;A002011027;C002041043
04/03/2020 08:54:28;CAB SKM (BCA VA DR SUKABUMI CABANG);1717000;A002011027;C001041023
04/03/2020 08:54:43;CAB BRG (BCA VA DR KEDUNG HALANG COUNTER);590000;A002011027;C001041020
04/03/2020 08:56:50;CAB DJB (BCA VA DR JAMBI CABANG);2808000;A002011027;C002041032
04/03/2020 09:01:26;CAB SST (BCA VA DR AMBARAWA COUNTER);268000;A002011027;C001041019
04/03/2020 09:02:28;CAB XOJ (BCA VA DR GRESIK COUNTER);478000;A002011027;C002041049
04/03/2020 09:07:15;CAB BDO (BCA VA DR UJUNG BERUNG AGEN);545000;A002011027;C001041012
04/03/2020 09:07:42;CAB SRG (BCA VA DR MT HARYONO AGEN);3740127;A002011027;C001041014
04/03/2020 09:08:45;CAB JBE (BCA VA DR RAMBIPUJI COUNTER);1045000;A002011027;C001041027
04/03/2020 09:09:26;CAB BSI (BCA VA DR LIPPO COUNTER);2179600;A002011027;C002041035
04/03/2020 09:11:09;CAB BSI (BCA VA DR CIANGSANA AGEN);2291400;A002011027;C002041035
04/03/2020 09:19:13;CAB CJR (BCA VA DR CIANJUR CABANG);455000;A002011027;C002041043
04/03/2020 09:21:02;CAB BDO (BCA VA DR CARINGIN AGEN);8692000;A002011027;C001041012
04/03/2020 09:23:25;CAB JKT (BCA VA DR DAKOTA JAKARTA);48000;A002011027;C001041011
04/03/2020 09:27:48;CAB BSI (BCA VA DR BEKASI CABANG);20755000;A002011027;C002041035
04/03/2020 09:30:00;CAB BSI (BCA VA DR BEKASI CABANG);1190000;A002011027;C002041035
04/03/2020 09:30:21;CAB JOG (BCA VA DR SUPENO AGEN);517977;A002011027;C001041018
04/03/2020 09:32:26;CAB JOG (BCA VA DR BANTUL JOGJA AGEN);1153600;A002011027;C001041018
04/03/2020 09:34:00;CAB SUB (BCA VA DR PANDUGO AGEN);3972113;A002011027;C001041016
04/03/2020 09:34:05;CAB BDO (BCA VA DR CIMAHI AGEN 01);1680100;A002011027;C001041012
04/03/2020 09:34:56;CAB XOJ (BCA VA DR SIDOARJO CABANG);15872100;A002011027;C002041049
04/03/2020 09:36:41;CAB JKT (BCA VA DR BEKASI AGEN);843239;A002011027;C001041011
04/03/2020 09:36:43;CAB JOG (BCA VA DR PINARAK AGEN);437759;A002011027;C001041018
04/03/2020 09:38:21;CAB JKT (BCA VA DR CENGKARENG AGEN);14000850;A002011027;C001041011
04/03/2020 09:43:19;CAB SUB (BCA VA DR RUNGKUT AGEN);938176;A002011027;C001041016
04/03/2020 09:45:09;CAB BSI (BCA VA DR DEPOK COUNTER);5818000;A002011027;C002041035
04/03/2020 09:49:13;CAB JKT (BCA VA DR PETA SELATAN COUNTER);96200;A002011027;C001041011
04/03/2020 09:49:40;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);1222000;A002011027;C001041021
04/03/2020 09:49:41;CAB TAN (BCA VA DR BIZLINK CITRA RAYA COUNTER);2950000;A002011027;C001041021
